週,カテゴリ,競合,媒体,重要度,日付,タイトル,先週,今週,AIメモ,入札上昇,入札下落,ネクストアクション,社外価値,ID,指標名,指標値,シグナル,前回順位,今回順位,CPC
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-21,ブランズ日本橋茅場町,,,🆕新規（自社）｜掲載順位 —→1｜CPC ¥453｜想定集客コスト ¥32181｜検索Vol 1000。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-ブランズ日本橋茅場町,想定集客コスト,32181,new,—,1,453
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-15,プラウド成城,,,🆕新規（自社）｜掲載順位 —→1｜CPC ¥228｜想定集客コスト ¥30827｜検索Vol 1900。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-プラウド成城,想定集客コスト,30827,new,—,1,228
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-07-01,三菱地所 住まいのリレー,,,🆕新規（自社）｜掲載順位 —→1｜CPC ¥509｜想定集客コスト ¥25953｜検索Vol 720。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-三菱地所 住まいのリレー,想定集客コスト,25953,new,—,1,509
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-03,パークハウス千里中央,,,🆕新規（自社）｜掲載順位 —→1｜CPC ¥476｜想定集客コスト ¥24295｜検索Vol 720。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-パークハウス千里中央,想定集客コスト,24295,new,—,1,476
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-02,パークハウス神楽坂,,,🆕新規（自社）｜掲載順位 —→2｜CPC ¥481｜想定集客コスト ¥18770｜検索Vol 1300。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-パークハウス神楽坂,想定集客コスト,18770,new,—,2,481
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-28,ザパークハウス六番町,,,🆕新規（自社）｜掲載順位 —→1｜CPC ¥245｜想定集客コスト ¥15407｜検索Vol 880。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-ザパークハウス六番町,想定集客コスト,15407,new,—,1,245
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-02,パークハウス等々力プレイス,,,🆕新規（自社）｜掲載順位 —→1｜CPC ¥766｜想定集客コスト ¥13789｜検索Vol 260。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-パークハウス等々力プレイス,想定集客コスト,13789,new,—,1,766
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-03,高槻 不動産,,,🆕新規（自社）｜掲載順位 —→1｜CPC ¥491｜想定集客コスト ¥13739｜検索Vol 390。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-高槻 不動産,想定集客コスト,13739,new,—,1,491
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-25,マンション売却 税,,,🆕新規（自社）｜掲載順位 —→6｜CPC ¥419｜想定集客コスト ¥13404｜検索Vol 3600。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-マンション売却 税,想定集客コスト,13404,new,—,6,419
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-13,belista横浜,,,🆕新規（自社）｜掲載順位 —→1｜CPC ¥211｜想定集客コスト ¥13288｜検索Vol 880。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-belista横浜,想定集客コスト,13288,new,—,1,211
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-04,不動産売却の流れ,,,🆕新規（自社）｜掲載順位 —→2｜CPC ¥594｜想定集客コスト ¥13068｜検索Vol 720。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-不動産売却の流れ,想定集客コスト,13068,new,—,2,594
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-27,四条烏丸クロスマーク,,,🆕新規（自社）｜掲載順位 —→2｜CPC ¥228｜想定集客コスト ¥8896｜検索Vol 1300。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-四条烏丸クロスマーク,想定集客コスト,8896,new,—,2,228
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-04,家 売る 方法,,,🆕新規（自社）｜掲載順位 —→2｜CPC ¥2151｜想定集客コスト ¥8602｜検索Vol 140。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-家 売る 方法,想定集客コスト,8602,new,—,2,2151
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-07-02,ザパークハウス 相模大野,,,🆕新規（自社）｜掲載順位 —→1｜CPC ¥196｜想定集客コスト ¥8244｜検索Vol 590。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-ザパークハウス 相模大野,想定集客コスト,8244,new,—,1,196
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-27,ザパークワンズ芝公園,,,🆕新規（自社）｜掲載順位 —→1｜CPC ¥130｜想定集客コスト ¥8188｜検索Vol 880。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-ザパークワンズ芝公園,想定集客コスト,8188,new,—,1,130
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-11,クレヴィア 巣鴨,,,🆕新規（自社）｜掲載順位 —→1｜CPC ¥121｜想定集客コスト ¥7617｜検索Vol 880。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-クレヴィア 巣鴨,想定集客コスト,7617,new,—,1,121
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-11,コルティーレ山手町,,,🆕新規（自社）｜掲載順位 —→1｜CPC ¥225｜想定集客コスト ¥6310｜検索Vol 390。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-コルティーレ山手町,想定集客コスト,6310,new,—,1,225
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-05-31,ザパークハウス相生山,,,🆕新規（自社）｜掲載順位 —→5｜CPC ¥372｜想定集客コスト ¥5950｜検索Vol 1600。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-ザパークハウス相生山,想定集客コスト,5950,new,—,5,372
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-27,シティハウス浦和常盤,,,🆕新規（自社）｜掲載順位 —→1｜CPC ¥224｜想定集客コスト ¥5150｜検索Vol 320。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-シティハウス浦和常盤,想定集客コスト,5150,new,—,1,224
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-04,不動産売買の流れ,,,🆕新規（自社）｜掲載順位 —→1｜CPC ¥341｜想定集客コスト ¥5115｜検索Vol 210。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-不動産売買の流れ,想定集客コスト,5115,new,—,1,341
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-02,渋谷藤和コープ,,,🆕新規（自社）｜掲載順位 —→1｜CPC ¥55｜想定集客コスト ¥5015｜検索Vol 1300。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-渋谷藤和コープ,想定集客コスト,5015,new,—,1,55
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-15,プラウド綱島,,,🆕新規（自社）｜掲載順位 —→2｜CPC ¥223｜想定集客コスト ¥4901｜検索Vol 720。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-プラウド綱島,想定集客コスト,4901,new,—,2,223
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-28,パークハウス文京関口,,,🆕新規（自社）｜掲載順位 —→5｜CPC ¥301｜想定集客コスト ¥4819｜検索Vol 1600。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-パークハウス文京関口,想定集客コスト,4819,new,—,5,301
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-28,ザガーデンズ東京王子,,,🆕新規（自社）｜掲載順位 —→5｜CPC ¥338｜想定集客コスト ¥4388｜検索Vol 1300。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-ザガーデンズ東京王子,想定集客コスト,4388,new,—,5,338
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-02,藤和 護国寺 コープ,,,🆕新規（自社）｜掲載順位 —→4｜CPC ¥269｜想定集客コスト ¥4309｜検索Vol 720。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-藤和 護国寺 コープ,想定集客コスト,4309,new,—,4,269
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-04,マンション 売却 手順,,,🆕新規（自社）｜掲載順位 —→2｜CPC ¥1337｜想定集客コスト ¥4011｜検索Vol 110。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-マンション 売却 手順,想定集客コスト,4011,new,—,2,1337
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-12,不動産 売却 タイミング,,,🆕新規（自社）｜掲載順位 —→3｜CPC ¥1295｜想定集客コスト ¥3884｜検索Vol 140。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-不動産 売却 タイミング,想定集客コスト,3884,new,—,3,1295
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-10,マンション 仲介 業者,,,🆕新規（自社）｜掲載順位 —→5｜CPC ¥3520｜想定集客コスト ¥3520｜検索Vol 70。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-マンション 仲介 業者,想定集客コスト,3520,new,—,5,3520
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-02,パークハウス学芸大学,,,🆕新規（自社）｜掲載順位 —→1｜CPC ¥114｜想定集客コスト ¥3197｜検索Vol 390。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-パークハウス学芸大学,想定集客コスト,3197,new,—,1,114
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-09,不動産 売却 情報,,,🆕新規（自社）｜掲載順位 —→3｜CPC ¥3066｜想定集客コスト ¥3066｜検索Vol 40。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-不動産 売却 情報,想定集客コスト,3066,new,—,3,3066
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-27,マンション 売る 税,,,🆕新規（自社）｜掲載順位 —→4｜CPC ¥505｜想定集客コスト ¥3030｜検索Vol 260。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-マンション 売る 税,想定集客コスト,3030,new,—,4,505
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-28,ルクセンブルグハウス,,,🆕新規（自社）｜掲載順位 —→1｜CPC ¥47｜想定集客コスト ¥2983｜検索Vol 880。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-ルクセンブルグハウス,想定集客コスト,2983,new,—,1,47
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-19,ラトリエ 吉祥寺,,,🆕新規（自社）｜掲載順位 —→5｜CPC ¥222｜想定集客コスト ¥2881｜検索Vol 1300。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-ラトリエ 吉祥寺,想定集客コスト,2881,new,—,5,222
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-17,ブリリア 西新,,,🆕新規（自社）｜掲載順位 —→1｜CPC ¥239｜想定集客コスト ¥2864｜検索Vol 170。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-ブリリア 西新,想定集客コスト,2864,new,—,1,239
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-05-31,パークハウス麻布 笄町,,,🆕新規（自社）｜掲載順位 —→5｜CPC ¥273｜想定集客コスト ¥2733｜検索Vol 1000。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-パークハウス麻布 笄町,想定集客コスト,2733,new,—,5,273
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-17,戸建売却 税金,,,🆕新規（自社）｜掲載順位 —→2｜CPC ¥414｜想定集客コスト ¥2487｜検索Vol 210。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-戸建売却 税金,想定集客コスト,2487,new,—,2,414
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-02,新百合ヶ丘パークハウスヒルズテラス,,,🆕新規（自社）｜掲載順位 —→3｜CPC ¥153｜想定集客コスト ¥2445｜検索Vol 720。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-新百合ヶ丘パークハウスヒルズテラス,想定集客コスト,2445,new,—,3,153
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-27,パークハウス玉川岡本,,,🆕新規（自社）｜掲載順位 —→5｜CPC ¥422｜想定集客コスト ¥2109｜検索Vol 480。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-パークハウス玉川岡本,想定集客コスト,2109,new,—,5,422
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-03,マンション売却 手続き,,,🆕新規（自社）｜掲載順位 —→2｜CPC ¥917｜想定集客コスト ¥1834｜検索Vol 70。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-マンション売却 手続き,想定集客コスト,1834,new,—,2,917
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-04,ザパークハウス東陽町,,,🆕新規（自社）｜掲載順位 —→1｜CPC ¥75｜想定集客コスト ¥1731｜検索Vol 320。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-ザパークハウス東陽町,想定集客コスト,1731,new,—,1,75
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-22,洗足ミナミプラザ,,,🆕新規（自社）｜掲載順位 —→5｜CPC ¥131｜想定集客コスト ¥1704｜検索Vol 1300。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-洗足ミナミプラザ,想定集客コスト,1704,new,—,5,131
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-15,ジオ西宮北口 薬師町,,,🆕新規（自社）｜掲載順位 —→1｜CPC ¥108｜想定集客コスト ¥1626｜検索Vol 210。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-ジオ西宮北口 薬師町,想定集客コスト,1626,new,—,1,108
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-25,ザパークハウス八田,,,🆕新規（自社）｜掲載順位 —→5｜CPC ¥259｜想定集客コスト ¥1554｜検索Vol 590。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-ザパークハウス八田,想定集客コスト,1554,new,—,5,259
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-27,マンション売却手続き,,,🆕新規（自社）｜掲載順位 —→3｜CPC ¥750｜想定集客コスト ¥1500｜検索Vol 70。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-マンション売却手続き,想定集客コスト,1500,new,—,3,750
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-22,藤和シティコープ鶴見,,,🆕新規（自社）｜掲載順位 —→5｜CPC ¥249｜想定集客コスト ¥1246｜検索Vol 480。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-藤和シティコープ鶴見,想定集客コスト,1246,new,—,5,249
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-05-25,ザ パークハウス アーバンス 中目黒,,,🆕新規（自社）｜掲載順位 —→5｜CPC ¥121｜想定集客コスト ¥1092｜検索Vol 880。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-ザ パークハウス アーバンス 中目黒,想定集客コスト,1092,new,—,5,121
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-26,マンション売買の税金,,,🆕新規（自社）｜掲載順位 —→4｜CPC ¥217｜想定集客コスト ¥1084｜検索Vol 210。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-マンション売買の税金,想定集客コスト,1084,new,—,4,217
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-27,ジオ西宮北口 瓦林町,,,🆕新規（自社）｜掲載順位 —→5｜CPC ¥261｜想定集客コスト ¥1045｜検索Vol 390。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-ジオ西宮北口 瓦林町,想定集客コスト,1045,new,—,5,261
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-22,土地売却の流れ,,,🆕新規（自社）｜掲載順位 —→6｜CPC ¥516｜想定集客コスト ¥1033｜検索Vol 260。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-土地売却の流れ,想定集客コスト,1033,new,—,6,516
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-08,マンション 売買 流れ,,,🆕新規（自社）｜掲載順位 —→3｜CPC ¥1030｜想定集客コスト ¥1030｜検索Vol 40。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-マンション 売買 流れ,想定集客コスト,1030,new,—,3,1030
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-21,家 売却 引渡し,,,🆕新規（自社）｜掲載順位 —→2｜CPC ¥1011｜想定集客コスト ¥1011｜検索Vol 20。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-家 売却 引渡し,想定集客コスト,1011,new,—,2,1011
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-10,パーク ハウス 南青山 グラン,,,🆕新規（自社）｜掲載順位 —→5｜CPC ¥147｜想定集客コスト ¥884｜検索Vol 590。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-パーク ハウス 南青山 グラン,想定集客コスト,884,new,—,5,147
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-19,ポートピアプラザ,,,🆕新規（自社）｜掲載順位 —→5｜CPC ¥112｜想定集客コスト ¥784｜検索Vol 720。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-ポートピアプラザ,想定集客コスト,784,new,—,5,112
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-07-02,プラウド鷺宮トレサージュ,,,🆕新規（自社）｜掲載順位 —→2｜CPC ¥149｜想定集客コスト ¥743｜検索Vol 170。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-プラウド鷺宮トレサージュ,想定集客コスト,743,new,—,2,149
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-28,ベリスタ溝の口,,,🆕新規（自社）｜掲載順位 —→5｜CPC ¥184｜想定集客コスト ¥551｜検索Vol 320。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-ベリスタ溝の口,想定集客コスト,551,new,—,5,184
2026/07/14週,KWシグナル,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-06-19,不動産売却 経費,,,🆕新規（自社）｜掲載順位 —→2｜CPC ¥118｜想定集客コスト ¥473｜検索Vol 140。(出典: Keywordmap),,,,,KWSIG-三菱地所ハウスネット（自社）-不動産売却 経費,想定集客コスト,473,new,—,2,118
2026/07/14週,ニュース,住友不動産,プレスリリース,高,2025/04/01,「住友不動産ステップ」へ商号変更＋購入専門部署を新設,住友不動産販売,住友不動産ステップに商号変更／「ステップ購入エージェンシー」を首都圏5・関西1店に新設,購入検討層の囲い込みを強化。デジタル広告への全面移行・ステップオークションも推進（出典: 住友不動産ステップ公式／日経）,,,,,NEWS-sumitomo-shogo,,
2026/07/14週,CR,住友不動産,GDN;Yahoo;Microsoft;Facebook;SmartNews,高,2026-07-15,クリエイティブ出稿の全体像,,総CR3698本（画像3403／動画281／カルーセル14）・新規CR3138本・LP1115本（新規LP1041）,ADクロール取込。表示回数約34万回。媒体内訳(CR数): GDN 1096／Yahoo 855／Microsoft 379／Facebook 319／SmartNews 315／Instagram 289。出稿期間 2020-01-22〜2026-07-15。(出典: ADクロール),,,,,CR-summary,表示回数,340495
2026/07/14週,CR,住友不動産,Microsoft,中,2026-07-15,主要クリエイティブ訴求: 【この二択】あなたはどうする？不動産価格が高水準の今…,,【この二択】あなたはどうする？不動産価格が高水準の今！賢い選択をご提案します,ADクロール取込。表示回数(7日増)809・9クリエイティブ・1媒体。(出典: ADクロール),,,,,CR-【この二択】あなたはどうする？不動産価格が高水準の今！賢い選択をご提案します,表示回数(7日増),809
2026/07/14週,CR,住友不動産,Microsoft;Instagram;Facebook,中,2026-07-15,主要クリエイティブ訴求: 意外と知らない！我が家の資産価値って？最新の相場から…,,意外と知らない！我が家の資産価値って？最新の相場から資産価値をお伝えします！,ADクロール取込。表示回数(7日増)731・9クリエイティブ・3媒体。(出典: ADクロール),,,,,CR-意外と知らない！我が家の資産価値って？最新の相場から資産価値をお伝えします！,表示回数(7日増),731
